date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/9/20,3.005357143,322.6904762,17.11785714,1001.975,86.56276295,2021,9,38,263,4.901871981
2021/9/21,3.282142857,281.4791667,20.70357143,1004.3625,60.46874709,2021,9,38,264,4.696708937
2021/9/22,1.480357143,193.1578947,21.63928571,1011.825,69.11414493,2021,9,38,265,8.479166667
2021/9/23,2.5125,111.4807692,22.82678571,1018.525,73.07809271,2021,9,38,266,20.82638889
2021/9/24,1.776785714,204.7142857,18.87142857,1019.9375,96.29792045,2021,9,38,267,14.26645531
2021/9/25,1.823214286,207.4864865,20.78928571,1020.975,80.8233792,2021,9,38,268,13.34722222
2021/9/26,1.714285714,285.2340426,18.84107143,1018.25,95.85897764,2021,9,38,269,12.48263889
2021/9/27,1.651785714,128.1111111,21.22678571,1014.65,79.17423018,2021,9,39,270,12.14654699
2021/9/28,1.853571429,161.1590909,20.03571429,1010.2375,85.04339605,2021,9,39,271,23.81944444
2021/9/29,1.989285714,129.9756098,21.80892857,1009.5875,67.34412108,2021,9,39,272,18.77672101
2021/9/30,2.091071429,137.7021277,19.03571429,1008.5375,80.8485693,2021,9,39,273,30.01388889
